id,employeeNumber,Center/Location,jobTitle,attendanceDate,shiftStartTime,shiftEndTime,firstInOfTheDay,lastOutOfTheDay,dayType,shiftDuration,shiftEffectiveDuration,totalGrossHours,totalEffectiveHours,totalBreakDuration,totalEffectiveOvertimeDuration,totalGrossOvertimeDuration
7315a669-3b16-4324-9f5d-dc8e3b6b3243,NP001,Support Office,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,2025-09-17 05:12:02,2025-09-17 08:24:19,0,9.0,9.0,4.41,3.16,1.25,0.0,0.0
08cebba9-c28f-4ab7-b71b-62795f926b7a,NP00121,104-AP-PVP-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T00:30:00Z,2025-09-17T09:30:00Z,,,0,9.0,8.5,0.0,0.0,0.0,0.0,0.0
05fcc36d-b6f1-4cea-b515-cdf1ad9af427,NP00213,137-AP-SRK-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T00:30:00Z,2025-09-17T09:30:00Z,2025-09-17 00:25:28,2025-09-17 09:54:10,0,9.0,8.5,9.48,9.48,0.0,0.98,0.48
86f36db4-928e-4ecc-9844-c353e8ffd170,NP00949,101-KA-BLR-RJJ-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T14:30:00Z,2025-09-17T22:30:00Z,2025-09-17 14:46:45,2025-09-18 01:37:47,0,8.0,7.5,10.85,10.85,0.0,3.35,2.85
ba143e2c-f9b9-4e06-9dcc-8456cace384a,NP00952,101-KA-BLR-RJJ-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T07:00:00Z,2025-09-17T15:00:00Z,2025-09-17 07:12:16,2025-09-17 15:13:13,0,8.0,7.5,8.02,8.02,0.0,0.52,0.02
f60dc3de-72e6-444f-9d4e-fa3ece7366db,NP0103,104-AP-PVP-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,2025-09-17 04:41:22,2025-09-17 14:09:55,0,9.0,9.0,9.48,9.48,0.0,0.48,0.48
c0a63258-4739-481c-9ce4-8a985e84e604,NP0201,103-AP-PKD-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T07:30:00Z,2025-09-17T16:30:00Z,2025-09-17 01:03:26,2025-09-17 16:20:10,0,9.0,8.5,15.28,15.28,0.0,6.78,6.28
c9882cfe-ba17-4baf-968b-61d5ab6e1a11,NP0206,103-AP-PKD-PPP-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,,,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0
c67610e5-2965-405d-9d9d-ac4ee8b869ef,NP02368,52-PB-LDH-AKC-S,Center Manager,2025-09-17T00:00:00Z,2025-09-17T02:00:00Z,2025-09-17T10:00:00Z,2025-09-17 01:46:41,2025-09-17 10:21:43,0,8.0,7.5,8.58,8.58,0.0,1.08,0.58
52ceacdb-d2cd-40ac-9b2d-37a02c34b9a6,NP03065,3-TS-MBN-YKA-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T04:00:00Z,2025-09-17T13:00:00Z,2025-09-17 04:19:23,2025-09-17 13:48:29,0,9.0,9.0,9.48,9.48,0.0,0.48,0.48
ba2e5a7b-17a3-4198-b8dd-7bf5487086c7,NP04807,169-HR-KKT-JNR-C,Center Manager,2025-09-17T00:00:00Z,2025-09-17T01:30:00Z,2025-09-17T09:30:00Z,2025-09-17 01:19:36,2025-09-17 11:51:24,0,8.0,7.5,10.53,10.53,0.0,3.03,2.53
